    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1           15            1      0.33333          0.9            0
           2           15            1     0.037037          1.3            0
           3           15            1     0.037037          0.7            n
           4           15            1      0.11111          1.3            n
           5           15            1      0.33333          1.1            n
           6           15            1            1          0.9            n
           7           15            1      0.33333          0.7            n
           8           15            1      0.33333          0.7            n
           9           15            1            1          1.3            n
          10            5            2      0.11111          0.7            0
          11            5            2     0.037037          1.1            0
          12            5            2      0.33333          0.9            n
          13            5            2     0.037037          1.1            n
          14            5            2      0.33333          0.7            n
          15            5            2     0.037037          0.7            n
          16            5            2     0.037037          1.3            n
          17            5            2      0.11111          0.9            n
          18            5            2      0.33333          0.9            n
          19            5            2      0.11111          0.9            n
          20           15            1     0.037037          0.9            0
          21           15            1     0.037037          0.9            n
          22           15            1            1          0.7            n
          23           15            1      0.11111          0.9            n
          24           15            1      0.11111          0.7            n
          25           15            1     0.037037          1.3            n
          26           15            1            1          0.7            n
          27           15            1     0.037037          0.9            n
          28           15            1            1          1.3            n
          29           15            1      0.33333          1.1            n
          30           20            2            1          0.7            0
          31           20            2     0.037037          1.1            1
          32           20            2      0.33333          0.9            n
          33           20            2     0.037037          0.7            n
          34           20            2      0.11111          0.9            n
          35           20            2      0.11111          0.7            n
          36           20            2      0.33333          0.7            n
          37           20            2      0.11111          0.9            n
          38           20            2      0.11111          0.9            n
          39           20            2            1          0.7            n
          40           20            1            1          0.7            n
          41           20            1      0.11111          1.1            n
          42           20            1     0.037037          1.3            n
          43           20            1      0.33333          0.7            n
          44           20            1      0.11111          0.9            n
          45           20            1     0.037037          0.7            n
          46           20            1      0.33333          0.7            n
          47           20            1      0.11111          1.3            n
          48           20            1     0.037037          0.7            n
          49           20            1     0.037037          0.9            n
          50           15            1      0.11111          0.7            n
          51           15            1     0.037037          1.1            n
          52           15            1     0.037037          1.3            n
          53           15            1            1          0.7            n
          54           15            1      0.33333          1.3            n
          55           15            1            1          1.1            n
          56           15            1     0.037037          1.3            n
          57           15            1            1          0.7            n
          58           15            1            1          0.7            n
          59           15            1            1          1.1            n
          60           15            1      0.11111          1.3            0
          61           15            1      0.33333          1.1            0
          62           15            1      0.33333          0.9            n
          63           15            1      0.11111          0.9            n
          64           15            1      0.33333          0.7            n
          65           15            1      0.33333          0.7            n
          66           15            1            1          0.9            n
          67           15            1     0.037037          1.3            n
          68           15            1     0.037037          1.3            n
          69           15            1      0.33333          0.7            0
          70           10            3      0.11111          0.9            1
          71           10            3            1          1.3            1
          72           10            3            1          0.9            n
          73           10            3      0.11111          0.7            n
          74           10            3      0.33333          1.3            n
          75           10            3     0.037037          1.3            n
          76           10            3      0.11111          0.7            n
          77           10            3      0.33333          1.1            n
          78           10            3      0.33333          0.9            n
          79           10            3     0.037037          1.3            0
          80           10            2      0.33333          1.1            1
          81           10            2      0.11111          1.1            0
          82           10            2      0.33333          1.1            n
          83           10            2      0.11111          0.7            n
          84           10            2      0.11111          0.9            n
          85           10            2     0.037037          0.9            n
          86           10            2     0.037037          1.1            n
          87           10            2     0.037037          0.7            0
          88           10            2            1          0.9            1
          89           10            2      0.33333          0.7            0
          90            5            3     0.037037          0.9            1
          91            5            3      0.33333          1.1            n
          92            5            3            1          0.9            n
          93            5            3     0.037037          0.9            n
          94            5            3     0.037037          1.3            n
          95            5            3     0.037037          1.3            n
          96            5            3      0.33333          1.1            n
          97            5            3            1          1.3            n
          98            5            3     0.037037          0.9            n
          99            5            3      0.11111          0.9            0
         100            5            3     0.037037          0.7            1
         101            5            3      0.33333          0.9            n
         102            5            3            1          0.9            n
         103            5            3     0.037037          0.9            n
         104            5            3      0.33333          1.3            n
         105            5            3      0.33333          1.1            n
         106            5            3      0.11111          1.3            n
         107            5            3      0.11111          1.1            n
         108            5            3            1          0.9            n
         109            5            3     0.037037          0.9            n
         110           10            2      0.11111          1.3            0
         111           10            2      0.11111          0.7            n
         112           10            2            1          0.7            0
         113           10            2            1          0.9            n
         114           10            2     0.037037          0.9            1
         115           10            2     0.037037          1.1            1
         116           10            2      0.11111          0.9            1
         117           10            2     0.037037          1.1            1
         118           10            2     0.037037          1.3            1
         119           10            2      0.11111          0.9            1
         120           20            3      0.11111          0.7            1
