    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1           15            3            1          0.9            n
           2           15            3     0.037037          0.9            1
           3           15            3      0.33333          0.7            0
           4           15            3      0.33333          0.9            0
           5           15            3            1          0.7            0
           6           15            3     0.037037          1.3            1
           7           15            3     0.037037          1.3            1
           8           15            3      0.11111          1.3            1
           9           15            3      0.11111          0.9            1
          10           15            3      0.11111          1.1            1
          11           10            1            1          1.3            0
          12           10            1      0.33333          1.1            1
          13           10            1            1          0.9            1
          14           10            1      0.11111          0.7            1
          15           10            1      0.11111          1.3            1
          16           10            1     0.037037          0.7            1
          17           10            1      0.33333          0.7            1
          18           10            1     0.037037          1.1            0
          19           10            1      0.33333          0.9            1
          20           10            1      0.11111          0.9            1
          21           15            3     0.037037          0.9            1
          22           15            3            1          0.7            0
          23           15            3      0.33333          0.7            0
          24           15            3      0.11111          0.7            0
          25           15            3            1          0.7            0
          26           15            3     0.037037          0.7            1
          27           15            3      0.11111          0.9            1
          28           15            3      0.11111          0.9            1
          29           15            3      0.33333          0.9            0
          30           15            3      0.33333          0.9            0
          31           10            2     0.037037          0.7            1
          32           10            2     0.037037          1.3            1
          33           10            2     0.037037          0.7            1
          34           10            2            1          0.7            1
          35           10            2            1          1.1            1
          36           10            2     0.037037          1.1            1
          37           10            2      0.33333          0.7            1
          38           10            2      0.11111          1.3            1
          39           10            2     0.037037          0.7            1
          40           10            2      0.33333          1.3            1
          41            5            1            1          1.3            0
          42            5            1     0.037037          1.1            1
          43            5            1      0.11111          0.9            1
          44            5            1      0.11111          0.9            1
          45            5            1      0.33333          0.7            1
          46            5            1     0.037037          1.1            1
          47            5            1     0.037037          1.1            1
          48            5            1      0.11111          0.7            1
          49            5            1      0.11111          1.3            1
          50            5            1      0.33333          0.7            1
          51           20            2      0.33333          0.9            1
          52           20            2            1          0.7            0
          53           20            2            1          0.9            1
          54           20            2            1          1.1            1
          55           20            2      0.11111          1.3            1
          56           20            2            1          0.9            1
          57           20            2      0.33333          0.9            1
          58           20            2     0.037037          1.1            0
          59           20            2     0.037037          1.1            0
          60           20            2            1          0.9            n
          61           15            3      0.11111          1.1            1
          62           15            3      0.11111          0.9            1
          63           15            3     0.037037          1.3            1
          64           15            3            1          0.9            0
          65           15            3     0.037037          0.7            1
          66           15            3            1          1.1            0
          67           15            3      0.33333          1.3            1
          68           15            3     0.037037          0.9            1
          69           15            3      0.11111          1.3            1
          70           15            3            1          1.3            0
          71           20            2     0.037037          0.7            1
          72           20            2      0.33333          0.9            1
          73           20            2      0.11111          0.7            1
          74           20            2      0.33333          1.3            1
          75           20            2      0.33333          1.3            1
          76           20            2     0.037037          0.9            1
          77           20            2            1          0.9            1
          78           20            2     0.037037          1.1            1
          79           20            2      0.11111          0.7            1
          80           20            2     0.037037          0.9            0
          81           10            1      0.11111          1.1            1
          82           10            1      0.33333          0.7            0
          83           10            1      0.11111          1.3            1
          84           10            1     0.037037          1.3            1
          85           10            1            1          1.1            1
          86           10            1      0.11111          1.1            1
          87           10            1      0.11111          1.3            1
          88           10            1      0.11111          0.9            1
          89           10            1      0.11111          0.9            1
          90           10            1      0.11111          0.7            1
          91            5            2      0.11111          0.7            1
          92            5            2            1          1.1            0
          93            5            2            1          0.7            0
          94            5            2      0.11111          0.9            1
          95            5            2            1          0.9            1
          96            5            2            1          0.7            0
          97            5            2      0.11111          0.9            1
          98            5            2     0.037037          1.3            1
          99            5            2      0.33333          0.7            1
         100            5            2      0.33333          1.1            1
         101            5            3      0.33333          1.1            0
         102            5            3      0.11111          0.9            1
         103            5            3      0.33333          1.1            0
         104            5            3            1          0.7            0
         105            5            3     0.037037          1.3            1
         106            5            3     0.037037          0.7            1
         107            5            3            1          0.9            0
         108            5            3            1          1.3            0
         109            5            3      0.11111          0.9            0
         110            5            3            1          0.9            0
         111           20            1            1          1.3            1
         112           20            1      0.11111          1.1            0
         113           20            1      0.11111          0.9            1
         114           20            1     0.037037          0.9            0
         115           20            1            1          0.7            1
         116           20            1      0.33333          1.1            1
         117           20            1            1          1.3            1
         118           20            1      0.11111          0.9            1
         119           20            1      0.11111          1.1            1
         120           20            1      0.11111          0.9            0
