    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1            5            1      0.11111          0.7            1
           2            5            1            1          0.9            1
           3            5            1            1          1.3            1
           4            5            1            1          1.3            1
           5            5            1      0.33333          0.9            1
           6            5            1            1          1.1            1
           7            5            1            1          0.7            1
           8            5            1      0.33333          0.9            n
           9            5            1            1          1.3            1
          10            5            1            1          1.3            1
          11           20            2      0.11111          0.7            0
          12           20            2      0.33333          1.3            1
          13           20            2     0.037037          0.9            0
          14           20            2      0.11111          1.1            1
          15           20            2     0.037037          0.9            0
          16           20            2     0.037037          1.1            n
          17           20            2      0.11111          0.9            1
          18           20            2            1          0.9            1
          19           20            2     0.037037          0.7            0
          20           20            2     0.037037          0.7            0
          21           10            2            1          0.9            0
          22           10            2            1          0.7            1
          23           10            2            1          1.1            1
          24           10            2      0.33333          1.1            1
          25           10            2      0.33333          0.9            1
          26           10            2            1          1.1            1
          27           10            2      0.11111          1.1            0
          28           10            2      0.33333          0.9            1
          29           10            2     0.037037          0.9            0
          30           10            2            1          1.3            1
          31           10            1      0.33333          0.7            1
          32           10            1      0.33333          0.9            1
          33           10            1      0.11111          1.1            1
          34           10            1      0.11111          1.3            1
          35           10            1      0.33333          0.7            0
          36           10            1     0.037037          1.3            1
          37           10            1      0.11111          0.9            0
          38           10            1     0.037037          0.7            0
          39           10            1      0.33333          1.1            1
          40           10            1     0.037037          0.7            0
          41           15            1            1          1.3            1
          42           15            1      0.11111          0.7            1
          43           15            1            1          0.7            1
          44           15            1      0.11111          1.3            0
          45           15            1     0.037037          1.1            0
          46           15            1      0.11111          0.7            0
          47           15            1      0.11111          0.7            1
          48           15            1      0.33333          1.3            1
          49           15            1      0.11111          1.3            1
          50           15            1            1          0.7            0
          51           20            1      0.33333          0.7            0
          52           20            1            1          1.3            1
          53           20            1            1          1.3            1
          54           20            1     0.037037          0.7            0
          55           20            1            1          1.3            1
          56           20            1            1          1.1            1
          57           20            1     0.037037          1.3            0
          58           20            1      0.11111          0.9            0
          59           20            1            1          0.9            1
          60           20            1      0.11111          1.3            0
          61           10            3      0.33333          0.7            1
          62           10            3      0.11111          0.7            0
          63           10            3            1          1.3            0
          64           10            3            1          0.7            1
          65           10            3            1          1.1            1
          66           10            3      0.33333          1.1            0
          67           10            3      0.11111          0.7            n
          68           10            3      0.33333          1.1            1
          69           10            3     0.037037          0.7            0
          70           10            3     0.037037          1.1            0
          71           15            3      0.33333          1.1            0
          72           15            3            1          0.9            0
          73           15            3      0.33333          0.9            0
          74           15            3     0.037037          1.1            0
          75           15            3      0.11111          1.1            1
          76           15            3            1          0.7            1
          77           15            3            1          0.7            1
          78           15            3            1          0.9            1
          79           15            3      0.11111          0.9            0
          80           15            3      0.33333          0.7            1
          81            5            3      0.33333          1.3            0
          82            5            3      0.11111          0.9            0
          83            5            3      0.33333          0.7            1
          84            5            3            1          1.3            0
          85            5            3     0.037037          1.1            1
          86            5            3     0.037037          0.7            1
          87            5            3      0.33333          1.1            1
          88            5            3            1          1.3            n
          89            5            3      0.11111          1.1            0
          90            5            3            1          1.3            1
          91           20            3      0.11111          0.7            0
          92           20            3     0.037037          0.7            1
          93           20            3      0.11111          1.3            0
          94           20            3      0.11111          0.9            1
          95           20            3            1          1.1            0
          96           20            3      0.11111          1.1            1
          97           20            3      0.33333          0.9            0
          98           20            3      0.11111          0.7            1
          99           20            3      0.11111          0.7            0
         100           20            3      0.33333          0.7            1
         101            5            2      0.33333          1.3            1
         102            5            2      0.11111          0.7            1
         103            5            2      0.33333          1.3            1
         104            5            2     0.037037          1.3            0
         105            5            2      0.11111          0.7            1
         106            5            2     0.037037          0.7            0
         107            5            2      0.11111          1.1            1
         108            5            2      0.33333          1.3            1
         109            5            2      0.33333          1.1            1
         110            5            2      0.11111          1.1            1
         111           15            2            1          1.1            1
         112           15            2            1          1.1            1
         113           15            2      0.33333          1.3            1
         114           15            2      0.33333          0.9            0
         115           15            2            1          1.3            0
         116           15            2     0.037037          1.3            1
         117           15            2      0.11111          1.1            n
         118           15            2            1          0.9            1
         119           15            2            1          1.1            1
         120           15            2     0.037037          1.3            0
