    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1            5            1     0.037037          0.9            1
           2            5            1      0.33333          0.9            1
           3            5            1      0.11111          0.9            0
           4            5            1     0.037037          0.7            0
           5            5            1      0.11111          0.9            0
           6            5            1      0.33333          0.9            1
           7            5            1            1          1.1            1
           8            5            1     0.037037          1.1            0
           9            5            1     0.037037          0.9            0
          10            5            1            1          0.7            1
          11           20            2            1          0.7            1
          12           20            2     0.037037          0.9            1
          13           20            2      0.11111          0.9            1
          14           20            2      0.33333          1.1            1
          15           20            2      0.11111          1.1            0
          16           20            2      0.33333          0.9            1
          17           20            2      0.33333          0.9            1
          18           20            2      0.11111          0.7            0
          19           20            2      0.11111          0.7            1
          20           20            2      0.33333          0.7            1
          21           10            2      0.33333          1.3            0
          22           10            2      0.11111          1.1            0
          23           10            2      0.33333          0.9            1
          24           10            2      0.11111          1.1            0
          25           10            2     0.037037          1.3            0
          26           10            2      0.33333          0.9            0
          27           10            2      0.11111          1.1            0
          28           10            2     0.037037          0.7            0
          29           10            2            1          0.9            1
          30           10            2     0.037037          1.1            0
          31           10            1            1          1.1            1
          32           10            1      0.33333          0.9            0
          33           10            1     0.037037          0.9            1
          34           10            1      0.33333          0.9            1
          35           10            1      0.11111          1.1            0
          36           10            1            1          0.7            0
          37           10            1            1          1.3            0
          38           10            1            1          1.3            0
          39           10            1      0.11111          1.3            1
          40           10            1      0.33333          1.3            n
          41           15            1            1          1.1            n
          42           15            1      0.33333          0.7            n
          43           15            1      0.33333          1.3            n
          44           15            1      0.11111          1.3            n
          45           15            1      0.33333          0.9            1
          46           15            1            1          0.9            1
          47           15            1      0.33333          0.7            0
          48           15            1      0.11111          0.7            0
          49           15            1      0.11111          0.9            0
          50           15            1      0.11111          1.3            1
          51           20            1      0.33333          1.1            1
          52           20            1     0.037037          0.7            1
          53           20            1     0.037037          1.3            0
          54           20            1      0.11111          0.7            1
          55           20            1            1          0.9            1
          56           20            1      0.11111          0.7            0
          57           20            1      0.11111          1.3            1
          58           20            1      0.33333          0.7            1
          59           20            1            1          0.9            0
          60           20            1            1          1.3            0
          61           10            3     0.037037          0.9            1
          62           10            3      0.11111          1.3            0
          63           10            3      0.33333          1.3            1
          64           10            3      0.11111          0.7            1
          65           10            3     0.037037          0.7            1
          66           10            3            1          0.7            1
          67           10            3            1          1.1            1
          68           10            3      0.33333          1.3            0
          69           10            3            1          0.7            1
          70           10            3      0.33333          0.9            1
          71           15            3      0.33333          0.7            0
          72           15            3     0.037037          0.9            1
          73           15            3            1          1.3            0
          74           15            3     0.037037          0.7            0
          75           15            3            1          0.9            1
          76           15            3      0.33333          1.3            0
          77           15            3      0.33333          1.1            0
          78           15            3      0.11111          0.9            1
          79           15            3      0.11111          1.1            1
          80           15            3            1          1.1            1
          81            5            3      0.33333          0.7            1
          82            5            3     0.037037          1.1            0
          83            5            3            1          0.9            1
          84            5            3            1          1.3            0
          85            5            3      0.11111          1.3            1
          86            5            3     0.037037          1.3            0
          87            5            3      0.11111          1.1            1
          88            5            3      0.33333          1.3            1
          89            5            3            1          1.3            1
          90            5            3      0.33333          0.7            1
          91           20            3      0.33333          1.3            0
          92           20            3      0.11111          0.9            1
          93           20            3     0.037037          0.7            1
          94           20            3            1          0.9            1
          95           20            3            1          0.7            0
          96           20            3     0.037037          1.1            1
          97           20            3      0.33333          1.3            1
          98           20            3     0.037037          1.1            0
          99           20            3            1          1.1            1
         100           20            3      0.11111          0.7            1
         101            5            2      0.33333          1.3            0
         102            5            2      0.11111          1.3            0
         103            5            2      0.33333          1.1            0
         104            5            2     0.037037          1.3            0
         105            5            2     0.037037          0.7            1
         106            5            2      0.33333          1.3            0
         107            5            2      0.11111          1.1            1
         108            5            2      0.33333          1.1            1
         109            5            2     0.037037          0.9            1
         110            5            2      0.33333          0.7            1
         111           15            2      0.33333          1.1            1
         112           15            2      0.11111          0.7            1
         113           15            2            1          0.7            1
         114           15            2      0.11111          0.9            0
         115           15            2     0.037037          1.1            0
         116           15            2            1          1.1            1
         117           15            2     0.037037          1.3            1
         118           15            2            1          0.9            1
         119           15            2      0.11111          1.1            0
         120           15            2      0.11111          0.7            1
