    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1           20            1      0.33333          1.1            1
           2           20            1     0.037037          1.3            0
           3           20            1            1          1.3            1
           4           20            1     0.037037          0.9            n
           5           20            1      0.33333          1.3            1
           6           20            1      0.11111          1.1            0
           7           20            1     0.037037          1.3            0
           8           20            1            1          1.1            1
           9           20            1     0.037037          1.3            0
          10           20            1      0.33333          0.9            1
          11           15            1      0.11111          0.7            1
          12           15            1      0.33333          0.9            0
          13           15            1      0.33333          1.3            1
          14           15            1      0.33333          1.1            1
          15           15            1      0.33333          0.9            0
          16           15            1      0.33333          0.9            0
          17           15            1     0.037037          1.1            1
          18           15            1            1          1.3            1
          19           15            1      0.11111          0.9            1
          20           15            1     0.037037          0.7            1
          21           20            3      0.11111          1.3            1
          22           20            3            1          1.3            1
          23           20            3      0.33333          0.9            1
          24           20            3      0.11111          0.7            1
          25           20            3      0.11111          1.1            1
          26           20            3     0.037037          1.1            0
          27           20            3      0.11111          1.3            0
          28           20            3     0.037037          1.3            1
          29           20            3      0.11111          1.3            1
          30           20            3      0.11111          1.1            1
          31           10            3      0.33333          1.3            1
          32           10            3     0.037037          1.1            1
          33           10            3            1          0.9            0
          34           10            3      0.33333          1.3            0
          35           10            3      0.33333          0.7            1
          36           10            3            1          1.1            1
          37           10            3      0.33333          1.3            n
          38           10            3     0.037037          0.9            0
          39           10            3     0.037037          1.1            0
          40           10            3      0.11111          0.9            0
          41           10            2     0.037037          1.1            0
          42           10            2      0.11111          0.9            1
          43           10            2            1          0.9            0
          44           10            2     0.037037          1.3            n
          45           10            2      0.33333          0.9            1
          46           10            2            1          1.3            1
          47           10            2      0.33333          1.1            1
          48           10            2      0.33333          1.3            0
          49           10            2      0.33333          1.1            0
          50           10            2     0.037037          0.9            0
          51           15            3      0.11111          1.1            1
          52           15            3      0.11111          1.3            1
          53           15            3      0.11111          1.3            1
          54           15            3      0.33333          1.3            1
          55           15            3     0.037037          1.3            0
          56           15            3     0.037037          0.7            1
          57           15            3      0.11111          0.9            1
          58           15            3            1          1.3            0
          59           15            3      0.11111          1.3            0
          60           15            3            1          1.3            1
          61            5            2     0.037037          0.7            1
          62            5            2            1          1.3            1
          63            5            2      0.11111          1.1            1
          64            5            2            1          0.9            1
          65            5            2     0.037037          1.1            1
          66            5            2      0.11111          1.3            1
          67            5            2            1          1.3            1
          68            5            2      0.11111          0.9            1
          69            5            2      0.33333          1.1            1
          70            5            2            1          1.1            0
          71           10            1      0.33333          1.1            1
          72           10            1      0.11111          0.9            1
          73           10            1      0.33333          1.3            1
          74           10            1      0.33333          1.1            1
          75           10            1     0.037037          1.3            1
          76           10            1      0.33333          1.3            1
          77           10            1      0.33333          0.7            1
          78           10            1     0.037037          0.7            1
          79           10            1     0.037037          1.1            1
          80           10            1      0.11111          1.1            1
          81            5            3      0.33333          0.7            1
          82            5            3     0.037037          1.1            0
          83            5            3      0.33333          0.9            1
          84            5            3      0.33333          1.3            1
          85            5            3     0.037037          0.9            0
          86            5            3      0.11111          1.3            1
          87            5            3     0.037037          1.3            1
          88            5            3      0.33333          0.7            1
          89            5            3     0.037037          1.1            0
          90            5            3      0.33333          1.1            1
          91           15            2      0.11111          1.3            1
          92           15            2      0.33333          1.3            1
          93           15            2            1          1.1            n
          94           15            2      0.11111          0.9            1
          95           15            2     0.037037          1.1            1
          96           15            2      0.33333          1.1            1
          97           15            2     0.037037          1.1            0
          98           15            2     0.037037          0.7            0
          99           15            2            1          0.7            1
         100           15            2      0.33333          0.9            1
         101            5            1            1          1.3            1
         102            5            1      0.11111          1.3            n
         103            5            1            1          0.9            1
         104            5            1            1          1.3            1
         105            5            1     0.037037          0.7            1
         106            5            1      0.11111          1.1            1
         107            5            1      0.33333          1.3            0
         108            5            1            1          1.1            1
         109            5            1      0.33333          1.3            1
         110            5            1      0.33333          1.3            n
         111           20            2      0.33333          1.1            1
         112           20            2      0.11111          0.9            1
         113           20            2     0.037037          1.1            0
         114           20            2            1          0.7            1
         115           20            2            1          0.9            1
         116           20            2            1          1.1            1
         117           20            2     0.037037          0.9            0
         118           20            2      0.11111          1.1            0
         119           20            2      0.33333          1.1            1
         120           20            2            1          1.3            1
